,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio,Percantage of vaccinated ppl
0,Afghanistan,AFG,11/5/2021,504502,448878,55624,12,40374668,1.111781278,0.137769554
1,Afghanistan,AFG,20/5/2021,547901,470341,77560,10,40374668,1.164940849,0.192100651
2,Afghanistan,AFG,24/5/2021,573277,476367,96910,10,40374668,1.179866049,0.240026742
3,Afghanistan,AFG,26/5/2021,590454,479372,111082,19,40374668,1.187308834,0.275127959
4,Afghanistan,AFG,27/5/2021,593313,479574,113739,14,40374668,1.187809148,0.281708818
5,Afghanistan,AFG,30/5/2021,600152,480226,119926,20,40374668,1.189424022,0.297032783
6,Afghanistan,AFG,2/6/2021,626290,481690,144600,34,40374668,1.193050058,0.35814536
7,Afghanistan,AFG,3/6/2021,630305,481800,148505,27,40374668,1.193322506,0.367817266
8,Afghanistan,AFG,8/6/2021,641295,482952,158343,64,40374668,1.19617578,0.39218403
9,Afghanistan,AFG,14/6/2021,662003,484737,177266,85,40374668,1.200596869,0.439052527
10,Afghanistan,AFG,22/6/2021,765890,582128,183762,78,40374668,1.441814952,0.455141823
11,Afghanistan,AFG,27/6/2021,835694,649434,186260,56,40374668,1.60851849,0.461328871
12,Afghanistan,AFG,30/6/2021,886854,699200,187654,77,40374668,1.731778946,0.464781531
13,Afghanistan,AFG,5/7/2021,915671,726349,189322,84,40374668,1.799021604,0.468912834
14,Afghanistan,AFG,7/7/2021,934463,735213,199250,55,40374668,1.820975964,0.49350251
15,Afghanistan,AFG,11/7/2021,962093,742934,219159,86,40374668,1.840099341,0.542813132
16,Afghanistan,AFG,20/8/2021,1201286,770542,430744,7,40374668,1.908478851,1.066866977
17,Afghanistan,AFG,14/11/2021,4018197,3530173,3188609,0,40374668,8.743534436,7.897548532
18,Afghanistan,AFG,27/12/2021,4674518,4142857,3753224,2,40374668,10.26103051,9.295987276
19,Afghanistan,AFG,9/1/2022,4903368,4358570,3809353,1,40374668,10.79530858,9.435007614
20,Afghanistan,AFG,11/1/2022,4925111,4378818,3814837,0,40374668,10.84545884,9.448590388
21,Afghanistan,AFG,13/1/2022,4954809,4405897,3823786,2,40374668,10.91252812,9.470755277
22,Afghanistan,AFG,17/1/2022,4985047,4432926,3832821,1,40374668,10.97947356,9.49313317
23,Afghanistan,AFG,19/1/2022,5004050,4450211,3836731,2,40374668,11.02228506,9.50281746
24,Afghanistan,AFG,24/1/2022,5046054,4486527,3851307,3,40374668,11.11223255,9.538919305
25,Afghanistan,AFG,26/1/2022,5074196,4511372,3866279,4,40374668,11.17376866,9.576001962
26,Afghanistan,AFG,27/1/2022,5081064,4517380,3868832,4,40374668,11.18864928,9.582325234
27,Afghanistan,AFG,31/1/2022,5125146,4554648,3892831,2,40374668,11.28095468,9.641765971
28,Afghanistan,AFG,2/2/2022,5152297,4577740,3912336,3,40374668,11.33814896,9.690075965
29,Afghanistan,AFG,7/2/2022,5216998,4634282,3959887,7,40374668,11.47819222,9.807850309
30,Afghanistan,AFG,14/2/2022,5321308,4723416,4043580,6,40374668,11.69895936,10.01514118
31,Afghanistan,AFG,20/2/2022,5412309,4801524,4125717,5,40374668,11.89241729,10.21857814
32,Afghanistan,AFG,27/2/2022,5535254,4907058,4231984,7,40374668,12.15380396,10.48178031
