year,industry1,industry2,industry3,retrench
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",230
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,310
1998,manufacturing,paper products and publishing,paper products and publishing,510
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,500
1998,manufacturing,rubber and plastic products,rubber and plastic products,1100
1998,manufacturing,fabricated metal products,fabricated metal products,1080
1998,manufacturing,machinery and equipment,machinery and equipment,1840
1998,manufacturing,electrical products,electrical products,1520
1998,manufacturing,electronic products,electronic products,11340
1998,manufacturing,medical and precision instruments,medical and precision instruments,270
1998,manufacturing,transport equipment,transport equipment,240
1998,manufacturing,other manufacturing industries,other manufacturing industries,1760
1998,construction,construction,construction,2450
1998,services,wholesale and retail trade,wholesale trade,3310
1998,services,wholesale and retail trade,retail trade,680
1998,services,hotels and restaurants,hotels,980
1998,services,hotels and restaurants,restaurants,430
1998,services,"transport, storage and communications","transport, storage and communications",820
1998,services,financial intermediation,financial institutions,1430
1998,services,financial intermediation,insurance and pension funding,50
1998,services,real estate and business,real estate and business,1590
1998,services,community,community,340
1998,others,others,others,30
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",450
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,30
1999,manufacturing,paper products and publishing,paper products and publishing,150
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,310
1999,manufacturing,rubber and plastic products,rubber and plastic products,300
1999,manufacturing,fabricated metal products,fabricated metal products,270
1999,manufacturing,machinery and equipment,machinery and equipment,490
1999,manufacturing,electrical products,electrical products,330
1999,manufacturing,electronic products,electronic products,5200
1999,manufacturing,medical and precision instruments,medical and precision instruments,90
1999,manufacturing,transport equipment,transport equipment,600
1999,manufacturing,other manufacturing industries,other manufacturing industries,160
1999,construction,construction,construction,830
1999,services,wholesale and retail trade,wholesale trade,1510
1999,services,wholesale and retail trade,retail trade,800
1999,services,hotels and restaurants,hotels,460
1999,services,hotels and restaurants,restaurants,90
1999,services,"transport, storage and communications","transport, storage and communications",580
1999,services,financial intermediation,financial institutions,1550
1999,services,financial intermediation,insurance and pension funding,30
1999,services,real estate and business,real estate and business,1080
1999,services,community,community,210
1999,others,others,others,10
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",90
2000,manufacturing,paper products and printing,paper products and printing,10
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",200
2000,manufacturing,rubber and plastic products,rubber and plastic products,70
2000,manufacturing,fabricated metal products,fabricated metal products,290
2000,manufacturing,machinery and equipment,machinery and equipment,310
2000,manufacturing,electrical products,electrical products,70
2000,manufacturing,electronic products,electronic products,5990
2000,manufacturing,medical and precision instruments,medical and precision instruments,10
2000,manufacturing,transport equipment,transport equipment,210
2000,manufacturing,other manufacturing industries,other manufacturing industries,260
2000,construction,construction,construction,380
2000,services,wholesale and retail trade,wholesale trade,880
2000,services,wholesale and retail trade,retail trade,120
2000,services,transport and storage,land transport and supporting services,10
2000,services,transport and storage,water transport and supporting services,170
2000,services,transport and storage,air transport and supporting services,20
2000,services,transport and storage,other transport and storage services,440
2000,services,hotels and restaurants,hotels,260
2000,services,hotels and restaurants,restaurants,180
2000,services,information and communications,broadcasting and publishing,300
2000,services,information and communications,telecommunications,30
2000,services,information and communications,it and other information services,90
2000,services,financial services,financial institutions,880
2000,services,financial services,insurance,40
2000,services,real estate and leasing services,real estate and leasing services,40
2000,services,professional services,"legal, accounting and management services",280
2000,services,professional services,architectural and engineering services,210
2000,services,professional services,other professional services,10
2000,services,administrative and support services,administrative and support services,30
2000,services,"community, social and personal services",education,10
2000,services,"community, social and personal services","health, social and community services",10
2000,services,"community, social and personal services","other community, social and personal services",70
2000,others,others,others,-
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",100
2001,manufacturing,paper products and printing,paper products and printing,130
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",320
2001,manufacturing,rubber and plastic products,rubber and plastic products,1430
2001,manufacturing,fabricated metal products,fabricated metal products,880
2001,manufacturing,machinery and equipment,machinery and equipment,1180
2001,manufacturing,electrical products,electrical products,620
2001,manufacturing,electronic products,electronic products,9800
2001,manufacturing,medical and precision instruments,medical and precision instruments,250
2001,manufacturing,transport equipment,transport equipment,230
2001,manufacturing,other manufacturing industries,other manufacturing industries,750
2001,construction,construction,construction,900
2001,services,wholesale and retail trade,wholesale trade,2760
2001,services,wholesale and retail trade,retail trade,210
2001,services,transport and storage,land transport and supporting services,200
2001,services,transport and storage,water transport and supporting services,130
2001,services,transport and storage,air transport and supporting services,320
2001,services,transport and storage,other transport and storage services,450
2001,services,hotels and restaurants,hotels,60
2001,services,hotels and restaurants,restaurants,180
2001,services,information and communications,broadcasting and publishing,510
2001,services,information and communications,telecommunications,210
2001,services,information and communications,it and other information services,980
2001,services,financial services,financial institutions,2390
2001,services,financial services,insurance,140
2001,services,real estate and leasing services,real estate and leasing services,100
2001,services,professional services,"legal, accounting and management services",1190
2001,services,professional services,architectural and engineering services,190
2001,services,professional services,other professional services,320
2001,services,administrative and support services,administrative and support services,270
2001,services,"community, social and personal services",education,20
2001,services,"community, social and personal services","health, social and community services",20
2001,services,"community, social and personal services","other community, social and personal services",140
2001,others,others,others,200
2002,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",80
2002,manufacturing,paper products and printing,paper products and printing,430
2002,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",260
2002,manufacturing,rubber and plastic products,rubber and plastic products,710
2002,manufacturing,fabricated metal products,fabricated metal products,1440
2002,manufacturing,machinery and equipment,machinery and equipment,990
2002,manufacturing,electrical products,electrical products,800
2002,manufacturing,electronic products,electronic products,4080
2002,manufacturing,medical and precision instruments,medical and precision instruments,100
2002,manufacturing,transport equipment,transport equipment,280
2002,manufacturing,other manufacturing industries,other manufacturing industries,500
2002,construction,construction,construction,1000
2002,services,wholesale and retail trade,wholesale trade,2120
2002,services,wholesale and retail trade,retail trade,250
2002,services,transport and storage,land transport and supporting services,50
2002,services,transport and storage,water transport and supporting services,200
2002,services,transport and storage,air transport and supporting services,20
2002,services,transport and storage,other transport and storage services,260
2002,services,hotels and restaurants,hotels,240
2002,services,hotels and restaurants,restaurants,150
2002,services,information and communications,broadcasting and publishing,310
2002,services,information and communications,telecommunications,490
2002,services,information and communications,it and other information services,930
2002,services,financial services,financial institutions,2650
2002,services,financial services,insurance,130
2002,services,real estate and leasing services,real estate and leasing services,220
2002,services,professional services,"legal, accounting and management services",530
2002,services,professional services,architectural and engineering services,180
2002,services,professional services,other professional services,260
2002,services,administrative and support services,administrative and support services,110
2002,services,"community, social and personal services",education,10
2002,services,"community, social and personal services","health, social and community services",-
2002,services,"community, social and personal services","other community, social and personal services",180
2002,others,others,others,180
2003,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",170
2003,manufacturing,paper products and printing,paper products and printing,220
2003,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",270
2003,manufacturing,rubber and plastic products,rubber and plastic products,580
2003,manufacturing,fabricated metal products,fabricated metal products,670
2003,manufacturing,machinery and equipment,machinery and equipment,500
2003,manufacturing,electrical products,electrical products,250
2003,manufacturing,electronic products,electronic products,3780
2003,manufacturing,medical and precision instruments,medical and precision instruments,210
2003,manufacturing,transport equipment,transport equipment,450
2003,manufacturing,other manufacturing industries,other manufacturing industries,410
2003,construction,construction,construction,740
2003,services,wholesale and retail trade,wholesale trade,1890
2003,services,wholesale and retail trade,retail trade,550
2003,services,transport and storage,land transport and supporting services,460
2003,services,transport and storage,water transport and supporting services,680
2003,services,transport and storage,air transport and supporting services,730
2003,services,transport and storage,other transport and storage services,220
2003,services,hotels and restaurants,hotels,230
2003,services,hotels and restaurants,restaurants,210
2003,services,information and communications,broadcasting and publishing,110
2003,services,information and communications,telecommunications,250
2003,services,information and communications,it and other information services,510
2003,services,financial services,financial institutions,1450
2003,services,financial services,insurance,100
2003,services,real estate and leasing services,real estate and leasing services,130
2003,services,professional services,"legal, accounting and management services",250
2003,services,professional services,architectural and engineering services,370
2003,services,professional services,other professional services,140
2003,services,administrative and support services,administrative and support services,240
2003,services,"community, social and personal services",education,30
2003,services,"community, social and personal services","health, social and community services",30
2003,services,"community, social and personal services","other community, social and personal services",190
2003,others,others,others,270
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",140
2004,manufacturing,paper products and printing,paper products and printing,60
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",490
2004,manufacturing,rubber and plastic products,rubber and plastic products,410
2004,manufacturing,fabricated metal products,fabricated metal products,280
2004,manufacturing,machinery and equipment,machinery and equipment,360
2004,manufacturing,electrical products,electrical products,370
2004,manufacturing,electronic products,electronic products,1810
2004,manufacturing,medical and precision instruments,medical and precision instruments,150
2004,manufacturing,transport equipment,transport equipment,140
2004,manufacturing,other manufacturing industries,other manufacturing industries,500
2004,construction,construction,construction,410
2004,services,wholesale and retail trade,wholesale trade,1040
2004,services,wholesale and retail trade,retail trade,220
2004,services,transport and storage,land transport and supporting services,50
2004,services,transport and storage,water transport and supporting services,110
2004,services,transport and storage,air transport and supporting services,800
2004,services,transport and storage,other transport and storage services,120
2004,services,hotels and restaurants,hotels,330
2004,services,hotels and restaurants,restaurants,270
2004,services,information and communications,broadcasting and publishing,120
2004,services,information and communications,telecommunications,170
2004,services,information and communications,it and other information services,210
2004,services,financial services,financial institutions,940
2004,services,financial services,insurance,80
2004,services,real estate and leasing services,real estate and leasing services,90
2004,services,professional services,"legal, accounting and management services",130
2004,services,professional services,architectural and engineering services,90
2004,services,professional services,other professional services,40
2004,services,administrative and support services,administrative and support services,100
2004,services,"community, social and personal services",education,70
2004,services,"community, social and personal services","health, social and community services",10
2004,services,"community, social and personal services","other community, social and personal services",220
2004,others,others,others,310
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",90
2005,manufacturing,paper products and printing,paper products and printing,60
